,id,title,axis
100,4922,the curious case of benjamin button,davidfincher cateblanchett bradpitt tildaswinton juliaormond fantasy drama thriller mystery romance diary navy funeral tea travel hospital
101,49538,x-men: first class,matthewvaughn jamesmcavoy michaelfassbender jenniferlawrence kevinbacon action sciencefiction adventure cia mutant mine marvelcomic superhero basedoncomicbook superhuman historicalfiction nuclearwar cubanmissilecrisis worldwariii 1960s
102,131634,the hunger games: mockingjay - part 2,francislawrence jenniferlawrence joshhutcherson liamhemsworth woodyharrelson action adventure sciencefiction revolution strongwoman dystopia gameofdeath 3d basedonyoungadultnovel
103,27022,the sorcerer's apprentice,jonturteltaub nicolascage jaybaruchel monicabellucci alfredmolina fantasy adventure action comedy drama witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana
104,503,poseidon,wolfgangpetersen kurtrussell richarddreyfuss joshlucas jacindabarrett adventure action drama thriller newyear'seve fire drowning cataclysm lossoffather atlanticocean ball self-abandonment shipwreck giantwave blackout ship daughter single escape capsizedship
105,241259,alice through the looking glass,jamesbobin johnnydepp miawasikowska annehathaway helenabonhamcarter fantasy basedonnovel clock queen sequel aliceinwonderland darkfantasy madhatter 3d
106,810,shrek the third,chrismiller mikemyers eddiemurphy camerondiaz julieandrews fantasy adventure animation comedy family ambush sadness stage liberationofprisoners island traitor shipwreck prince ship donkey kingdom theatreplay transformation conciliation tricks heirtothethrone assault boardingschool coupd'etat teacher bestfriend dragon cowardliness pregnancy capture duringcreditsstinger
107,68735,warcraft,duncanjones paulapatton travisfimmel benfoster robertkazinsky action adventure fantasy videogame elves orcs magic chase basedoncomicbook sorcerer fictionalwar basedonvideogame wizard fictionallanguage muscles orc swordandsorcery
108,87101,terminator genisys,alantaylor arnoldschwarzenegger jasonclarke emiliaclarke jaicourtney sciencefiction action thriller adventure savingtheworld artificialintelligence cyborg killerrobot future timetravel dystopia sequel fiction duringcreditsstinger 3d
109,10140,the chronicles of narnia: the voyage of the dawn treader,michaelapted skandarkeynes georgiehenley simonpegg garysweet adventure family fantasy basedonnovel magic goodvsevil king narnia fantasyworld knifeheldtothroat snowing quest
110,676,pearl harbor,michaelbay benaffleck joshhartnett katebeckinsale cubagoodingjr. history romance war nurse patriotism hawaii worldwarii pilot pearlharbor u.s.airforce airplane war army love pin-up
111,1858,transformers,michaelbay shialabeouf joshduhamel meganfox rachaeltaylor adventure sciencefiction action destroy transformation alien basedontoy transformers robot duringcreditsstinger teenagehero
112,1966,alexander,oliverstone colinfarrell angelinajolie valkilmer jaredleto war history action adventure drama romance aristotle egypt greece persia elephant campaign alexanderthegreat homosexuality gayrelationship ancientworld
113,675,harry potter and the order of the phoenix,davidyates danielradcliffe rupertgrint emmawatson michaelgambon adventure fantasy family mystery prophecy witch lossoflover magic cuttingthecord childhero dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft blackmagic deathofafriend sorcery occultism
114,674,harry potter and the goblet of fire,mikenewell danielradcliffe rupertgrint emmawatson ralphfiennes adventure fantasy family magic dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft chosenone blackmagic boardingschool vision tournament teenager wizard teenagehero basedonyoungadultnovel
115,8960,hancock,peterberg willsmith charlizetheron jasonbateman jaehead fantasy action flying alcohol loveofone'slife forbiddenlove lovers affection advertisingexpert alcoholism invulnerability superhero pokies duringcreditsstinger
116,6479,i am legend,francislawrence willsmith alicebraga charlietahan sallirichardson-whitfield drama horror action thriller sciencefiction savingtheworld lostcivilisation post-apocalyptic dystopia matteroflifeanddeath alone helplessness virus pandemic
117,118,charlie and the chocolate factory,timburton johnnydepp freddiehighmore davidkelly annasophiarobb adventure comedy family fantasy londonengland fathersonrelationship chocolate factoryworker basedonnovel parentskidsrelationship candy overweightchild grandfathergrandsonrelationship teacher
118,2062,ratatouille,janpinkava pattonoswalt ianholm louromano briandennehy animation comedy family fantasy paris brotherbrotherrelationship expensiverestaurant river cook mouse confidence roof window leavingone'sfamily work restaurantcritic kitchen spice court cookbook family chef rat
119,272,batman begins,christophernolan christianbale michaelcaine liamneeson katieholmes action crime drama himalaya martialarts dccomics crimefighter secretidentity undercover hero lossoffather society gothamcity vigilante superhero basedoncomicbook rivalry tragichero ninja goodvsevil crime superpowers hauntedbythepast evildoctor escapade mastervillain fightingcrime unfulfillment loveandromance unfulfilledlove
120,10527,madagascar: escape 2 africa,ericdarnell benstiller jadapinkettsmith davidschwimmer chrisrock family animation africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger
121,18360,night at the museum: battle of the smithsonian,shawnlevy benstiller amyadams owenwilson hankazaria adventure fantasy action comedy family museum theodoreroosevelt duringcreditsstinger ameliaearhart smithsonian
122,2080,x-men origins: wolverine,gavinhood hughjackman lievschreiber dannyhuston lynncollins adventure action thriller sciencefiction corruption mutant boxer army marvelcomic superhero aftercreditsstinger duringcreditsstinger
123,605,the matrix revolutions,lillywachowski keanureeves laurencefishburne carrie-annemoss hugoweaving adventure action thriller sciencefiction savingtheworld artificialintelligence manvsmachine flying philosophy fortuneteller kungfu undergroundworld killerrobot temple subway dream sun hero fight sunlight computervirus key future precognition supercomputer machinetown yingyang dyinganddeath virtualreality dystopia computer faith worldreligion truth rescue mission cyberpunk womandirector yinyang gnosticism
124,109445,frozen,chrisbuck kristenbell idinamenzel jonathangroff joshgad animation adventure family queen musical princess betrayal snowman animation reindeer curse snow troll mountainclimber aftercreditsstinger womandirector 3d
125,604,the matrix reloaded,lillywachowski keanureeves carrie-annemoss laurencefishburne hugoweaving adventure action thriller sciencefiction savingtheworld artificialintelligence manvsmachine martialarts kungfu undergroundworld dream hero fight computervirus key future plato precognition rave dyinganddeath virtualreality dystopia computer faith worldreligion truth mission cyberpunk womandirector gnosticism
126,76338,thor: the dark world,alantaylor chrishemsworth natalieportman tomhiddleston anthonyhopkins action adventure fantasy marvelcomic superhero basedoncomicbook hostiletakeover norsemythology aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d asgard
127,76341,mad max: fury road,georgemiller tomhardy charlizetheron nicholashoult hughkeays-byrne action adventure sciencefiction thriller future chase post-apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture
128,13448,angels & demons,ronhoward tomhanks ewanmcgregor ayeletzurer stellanskarsgård thriller mystery rome vatican basedonnovel symbolism christian illuminati quantummechanics prequel antimatter conspiracy investigator catholicism cern
129,10195,thor,kennethbranagh chrishemsworth natalieportman tomhiddleston anthonyhopkins adventure fantasy action newmexico banishment shield marvelcomic hammer superhero basedoncomicbook redemption norsemythology aftercreditsstinger marvelcinematicuniverse 3d asgard odin heimdall
130,13053,bolt,chriswilliams johntravolta mileycyrus susieessman markwalton animation family adventure comedy hamster kidsandfamily animal catvsdog duringcreditsstinger dogcatfriendship animallead girldogrelationship
131,19585,g-force,hoytyeatman samrockwell penélopecruz tracymorgan jonfavreau fantasy action adventure family comedy dyr duringcreditsstinger
132,57165,wrath of the titans,jonathanliebesman samworthington liamneeson ralphfiennes edgarramírez adventure underworld hades mythology greekmythology zeus perseus gods ancientgreece basedongreekmyth ares 3d
133,62213,dark shadows,timburton johnnydepp michellepfeiffer helenabonhamcarter jackieearlehaley comedy fantasy witch imprisonment vampire curse fishoutofwater chains gothic madness oldhouse lostlove angrymob 18thcentury ghost hiddenroom oldmansion
134,177677,mission: impossible - rogue nation,christophermcquarrie tomcruise rebeccaferguson simonpegg jeremyrenner action adventure thriller londonengland spy austria villain sequel mission conspiracy viennaopera vienna
135,7978,the wolfman,joejohnston beniciodeltoro anthonyhopkins emilyblunt hugoweaving drama horror thriller fathersonrelationship victorianengland remake ruralsetting werewolf
136,5559,bee movie,stevehickner jerryseinfeld renéezellweger jimcummings matthewbroderick family animation adventure comedy factoryworker tennis flower florist flowershop pilot college airplane beehive court aftercreditsstinger
137,49444,kung fu panda 2,jenniferyuhnelson jackblack angelinajolie dustinhoffman garyoldman animation family martialarts hope fleet panda mission womandirector
138,10196,the last airbender,m.nightshyamalan noahringer nicolapeltz jacksonrathbone devpatel action adventure family fantasy fire ice warship prince kingdom water village arrest remake attack avatar air spirit world domination cheering
139,956,mission: impossible iii,j.j.abrams tomcruise philipseymourhoffman vingrhames billycrudup adventure action thriller berlin cia vatican whitehouse secretidentity secret explosive mobilephone map traitor mask honeymoon shanghai pretendedmurder secretmission letter funeral coveredinvestigation toshootdead secretagent video stamp harddrive e-mail decipherment suitcase computer revenge murder mission hospital duel disguise celebration goodandbad researchlaboratory blast
140,117251,white house down,rolandemmerich channingtatum jamiefoxx joeyking maggiegyllenhaal action drama thriller usapresident conspiracy secretservice thewhitehouse
